UNEMPLOYMENT IS DOWN	失業率下降
NOBODY YOU KNOW\nWON THE LOTTO!	沒有你認識的人\n贏得樂透！
PRESIDENT HATES BROCCOLI	總統討厭花椰菜
MORE FAST FOOD PLACES\nUSING SOY BEANS	更多速食店\n採用黃豆
SCHOOL ENROLLMENT UP	學校招生人數增加
SCHOOL ENROLLMENT DOWN	學校招生人數下降
THERE IS MONEY IN\nCOMPUTERS	電腦業有金礦\n待開採
HOUSING MARKET LOOKS GOOD	房市看好
SALES OF NEWSPAPERS\nHAVE SKYROCKETED	報紙銷售\n暴增
PAWN SHOPS SERVE\nUSEFUL PURPOSE	當舖發揮\n重要作用
NORTH SHORE OF BASS\nLAKE SINKS	低音湖北岸\n下沉
ALICE COOPER GIVES BIRTH\nTO TWIN BOYS	愛麗絲．庫柏誕下\n雙胞胎男嬰
COARSEGOLD PURCHASED BY\nJAPAN	粗金鎮被日本\n收購
SPACE QUEST III WINS\nBIG AWARD	太空探險隊III\n贏得大獎
ELVIS SIGHTED AT KFC\nIN OAKHURST	貓王在橡樹鎮\nKFC 現身
TALKING BEAR KIDNAPPED!\nFBI INVESTIGATING	會說話的熊遭綁架！\nFBI 正在調查
KINGS QUEST XXIX GOES\nTO PRODUCTION	國王任務XXIX\n進入製作
MR. WHIPPLE FOUND SQUEEZED\nTO DEATH IN APARTMENT	威普爾先生在公寓內\n遭擠死
REAGAN'S NAP INTERRUPTS\nSPEECH	雷根打盹\n打斷演講
MOTHER GOOSE GETS DIVORCE!\nFEATHERS RUFFLED	鵝媽媽離婚！\n羽毛都豎起來了
MOTHER GOOSE SUSPECTED OF\nFOWL PLAY	鵝媽媽涉嫌\n違規行為
SALMON BITING OFF NORTH\nSHORE OF BASS LAKE	鮭魚在低音湖北岸\n頻繁咬人
NIXON MAKES ROCK VIDEO	尼克森拍搖滾音樂錄影帶
FORD STUMBLES ON CURE	福特意外發現治療法
NEW GOVT STUDY SHOWS GAME\nPLAYERS GET SICK TOO!	新政府研究顯示\n電玩玩家也會生病！
AMELDA M. LOOKING FOR\nA FEW GOOD SHOES	艾美達．M 尋找\n幾雙漂亮的鞋
NANCY IS LOOKING FOR A\nNEW DRESS	南茜在尋找\n新衣服
TYpEsETTrs U ion\ngoe oN STR KE!	排字工人工會\n罷工！
FIREMEN ARE ALWAYS\nIN HEAT	消防員永遠\n熱血沸騰
PRESIDENT FINALLY EATS\nBROCCOLI	總統終於\n吃花椰菜
PRESIDENT EATS BROCCOLI\nAND LIVES!	總統吃花椰菜\n而且活著！
STUDY SHOWS WE HAVE\nMORE LEISURE TIME	研究顯示我們擁有\n更多休閒時間
SOL.\nWE NEED A HEADLINE HERE!	天哪。\n我們需要頭條新聞！
TORNADO KILLS 8 THEN\nCOMMITS SUICIDE!	龍捲風殺害8人\n然後自殺！
CIGARETTES FOUND TO CAUSE\nLABORATORY ANIMALS!	香菸被發現導致\n實驗動物！
COURTS JAMMED!\nWAPNER REINSTATED!	法院爆滿！\nWapner 恢復主持！
GRAND CANYON DESIGNATED\nNATIONAL LANDFILL!	大峽谷被指定為\n國家垃圾掩埋場！
CELEBRITY BULLFIGHTING\nDISASTER; LESLEY GORED	名人鬥牛\n事故；萊斯利遭刺傷
GURUKA SINGH GETS HAIRCUT!\nPHOTOS UNDER WRAPS!	古魯卡．辛格剪髮！\n照片保密！
RAP GROUP ARRESTED FOR\nNOT STARTING RIOT!	嘻哈樂團因未\n引發暴動遭捕！
TRAILER PARK DEMOLISHES\n6 TORNADOES!	房車停車場摧毀\n6 場龍捲風！
Works at %-16s	工作於 %-16s
As a %-20s	身分為 %-20s
Hourly wage: $%-11d	時薪：$%-11d
Unemployed	失業中
Cash: $%-18s	現金：$%-18s
Savings: $%-15s	存款：$%-15s
Rent Owed: $%-13d	欠房租：$%-13d
Loan Balance: $%-10d	貸款餘額：$%-10d
Total Goods: $%-11d	總財產值：$%-11d
Investment Total: $%-6s	投資總額：$%-6s
Net Worth: $%-13s	淨資產：$%-13s
-----GOODS-----	-----商品-----
Casual Clothes  	便裝
Dress Clothes   	禮服
Business Suit   	商務套裝
%3d Weeks of Food        	%3d 週的食物
---EDUCATION---	---教育---
--INVESTMENTS--	--投資--
Filler	填充
You spent the whole weekend watching some of the food in your refrigerator grow mold and spores. It sure was fun.	你整個週末都在看冰箱裡的食物長黴菌和孢子。真的很有趣。
You spent the whole weekend watching the water in your refrigerator freeze.	你整個週末都在看冰箱裡的水結冰。
You spent the weekend baking oatmeal cookies.	你週末烤燕麥餅乾。
You spent the entire weekend watching Star Trek reruns.	你整個週末都在看星艦奇航記重播。
You rented some movies and ate artificially flavored buttered popcorn.	你租了些電影並吃了人工香味奶油爆米花。
You spent the weekend playing your stereo and patching the plaster your speakers cracked.	你週末放立體聲音樂並修補揚聲器裂開的牆面。
You spent the weekend cleaning your microwave after you tried to dry your pet rat in it. You also need a new pet rat.	你週末清潔微波爐，因為你試著在裡面烘乾寵物鼠。你還需要一隻新寵物鼠。
You and some friends had a Hottub party this weekend.	你和一些朋友週末舉辦了熱水浴池派對。
You played games on your computer all weekend.	你整個週末都在玩電腦遊戲。
You watched CELEBRITY INCOME TAX EVASION on TV this weekend.	你週末看電視上的「名人逃稅」節目。
You read all about the mating habits of the North American computer programmer in your encyclopedia.	你在百科全書中讀了北美電腦程式設計師的交配習性。
You read your dictionary all weekend. Boy, that was fun.	你整個週末都在讀字典。天哪，真有趣。
You read your atlas and commited the population of 43 countries to memory. OH WOW!!!	你讀地圖集並記住了43個國家的人口。喔哇！！！
You went to the baseball game this weekend and ate hotdogs till you puked.	你週末去看棒球比賽並吃熱狗直到吐。
You went to the theatre this weekend and saw the one MAN version of Cats.	你週末去劇院看了「貓」的獨角戲版本。
You had front row seats at a rock concert. The doctor said that the hearing loss shouldn't be permanent.	你在搖滾演唱會有前排座位。醫生說聽力損失應該不會永久。
You watched them change the mannequins at QT Clothing this weekend.	你週末看了Q.T服飾店換衣服模特的過程。
You washed and waxed your marble this weekend right before it rained.	你週末洗臘大理石，結果馬上下雨。
You stayed home and did absolutely nothing this weekend.	你週末待在家裡什麼都沒做。
You spent the weekend hiking around Yosemite.	你週末在優勝美地登山。
You listened to the Talking Bear 256 times this weekend.	你週末聽了會說話的熊256次。
You read the 'Wall Street Journal' this weekend.	你週末讀了《華爾街日報》。
You thought about what you would do on your next turn.	你想著下次輪到你時要做什麼。
You spent the weekend in a hotel because they had to fumigate your apartment.	你週末在飯店住，因為他們必須對你的公寓進行薫蒸。
You played in a ping pong tournament this weekend.	你週末參加了乒乓球錦標賽。
You pitched horseshoes in your apartment all weekend. The people downstairs love you.	你整個週末都在公寓裡扔馬蹄鐵。樓下的人很愛你。
You sat around and played solitaire all weekend.	你整個週末都坐著玩紙牌遊戲。
You went panning for gold this weekend, but all you got was wet.	你週末去淘金，但只淘到了水。
You spent the weekend in the laundromat washing your clothes. Now that was exciting.	你週末在洗衣店洗衣服。那真刺激。
