Music is ON	Music is ON
Music is OFF	Music is OFF
Sound Effects are ON	Sound Effects are ON
Sound Effects are OFF	Sound Effects are OFF
Thank You for playing `Jones In The Fast Lane'. Would you like to play another game?	Thank You for playing `Jones In The Fast Lane'. Would you like to play another game?
Week #%2d	Week #%2d
You are not properly dressed for work!	You are not properly dressed for work!
You have missed too much work! You're fired!	You have missed too much work! You're fired!
Your work habits better pick up soon or you're fired!	Your work habits better pick up soon or you're fired!
No time is left to work.	No time is left to work.
I'm sorry. I had to garnish $%d.	I'm sorry. I had to garnish $%d.
Your Landlord garnished $%d.	Your Landlord garnished $%d.
What should be done with the remaining player(s)?	What should be done with the remaining player(s)?
$%d an hour	$%d an hour
No time is left to relax.	No time is left to relax.
Welcome to the Rent Office. Don't snivel. Just pay your rent and leave.	Welcome to the Rent Office. Don't snivel. Just pay your rent and leave.
Welcome to the Rent Office. The rent is high, but where else can you get so little for so much.	Welcome to the Rent Office. The rent is high, but where else can you get so little for so much.
Welcome to the Rent Office. We don't charge any extra rent for the cockroaches.	Welcome to the Rent Office. We don't charge any extra rent for the cockroaches.
Welcome to the Rental Office. No waterbeds, pets or velvet toreador paintings, please.	Welcome to the Rental Office. No waterbeds, pets or velvet toreador paintings, please.
Welcome to the Rental Office. Where Sunday is Double Rent Increase Day!	Welcome to the Rental Office. Where Sunday is Double Rent Increase Day!
Welcome to the Rental Office. Our closets are so roomy, you'll never want to come out!	Welcome to the Rental Office. Our closets are so roomy, you'll never want to come out!
Welcome to the Rental Office. Our security apartments feature 24-hour eunuch guards!	Welcome to the Rental Office. Our security apartments feature 24-hour eunuch guards!
Welcome to the Rental Office. Come in and meet your slumlo...I mean, your landlord!	Welcome to the Rental Office. Come in and meet your slumlo...I mean, your landlord!
Just a few rules: no pets, no children, no smoking, no parties, and no jogging in the halls.	Just a few rules: no pets, no children, no smoking, no parties, and no jogging in the halls.
You'll love it! 24-hour security, spa, exercise room and free parking for BMWs.	You'll love it! 24-hour security, spa, exercise room and free parking for BMWs.
A wise choice. Our other building has just been condemned.	A wise choice. Our other building has just been condemned.
Oh, good! You'll fit right in...EVERYBODY there has an attitude.	Oh, good! You'll fit right in...EVERYBODY there has an attitude.
We've just put in a sun deck for your slow-roasting pleasure.	We've just put in a sun deck for your slow-roasting pleasure.
Ah. Well, I expect you'll find the neighborhood quite challenging.	Ah. Well, I expect you'll find the neighborhood quite challenging.
Oh. Well, hopefully you'll still be around at rent time.	Oh. Well, hopefully you'll still be around at rent time.
Of course, that comes furnished with a disgusting old chair. Enjoy!	Of course, that comes furnished with a disgusting old chair. Enjoy!
